2022-09-04 12:29:10.162 MSK [9124] СООБЩЕНИЕ:  запускается PostgreSQL 14.5, compiled by Visual C++ build 1914, 64-bit
2022-09-04 12:29:10.163 MSK [9124] СООБЩЕНИЕ:  для приёма подключений по адресу IPv6 "::" открыт порт 5432
2022-09-04 12:29:10.163 MSK [9124] СООБЩЕНИЕ:  для приёма подключений по адресу IPv4 "0.0.0.0" открыт порт 5432
2022-09-04 12:29:10.193 MSK [8100] СООБЩЕНИЕ:  система БД была выключена: 2022-09-03 17:01:10 MSK
2022-09-04 12:29:10.205 MSK [9124] СООБЩЕНИЕ:  система БД готова принимать подключения
2022-09-04 12:29:18.762 MSK [7364] ВАЖНО:  база данных "security_app_db" не существует
2022-09-04 12:29:19.849 MSK [8016] ВАЖНО:  база данных "security_app_db" не существует
2022-09-04 12:29:21.018 MSK [9116] ВАЖНО:  база данных "security_app_db" не существует
2022-09-04 12:58:53.365 MSK [2168] РћРЁРР‘РљРђ:  РѕС‚РЅРѕС€РµРЅРёРµ "person" РЅРµ СЃСѓС‰РµСЃС‚РІСѓРµС‚ (СЃРёРјРІРѕР» 145)
2022-09-04 12:58:53.365 MSK [2168] РћРџР•Р РђРўРћР :  select person0_.id as id1_0_, person0_.password as password2_0_, person0_.username as username3_0_, person0_.year_of_birth as year_of_4_0_ from person person0_ where person0_.username=$1
2022-09-04 13:40:07.263 MSK [2596] РћРЁРР‘РљРђ:  РЅРµРІРµСЂРЅС‹Р№ СЃРёРЅС‚Р°РєСЃРёСЃ РґР»СЏ С‚РёРїР° bigint: "Alex" (СЃРёРјРІРѕР» 28)
2022-09-04 13:40:07.263 MSK [2596] РћРџР•Р РђРўРћР :  INSERT INTO person VALUES ('Alex', 1980);
2022-09-04 14:03:33.248 MSK [2596] РћРЁРР‘РљРђ:  СЃС‚РѕР»Р±РµС† "email" РѕС‚РЅРѕС€РµРЅРёСЏ "person" СЃРѕРґРµСЂР¶РёС‚ Р·РЅР°С‡РµРЅРёСЏ NULL
2022-09-04 14:03:33.248 MSK [2596] РћРџР•Р РђРўРћР :  ALTER TABLE person
	ADD email VARCHAR(50) NOT NULL;
2022-09-04 14:14:59.179 MSK [2596] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-09-04 14:14:59.180 MSK [2524] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-09-04 14:14:59.181 MSK [5200] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-09-04 14:14:59.181 MSK [940] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-09-04 14:14:59.181 MSK [4180] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2022-09-04 15:42:47.224 MSK [9124] СООБЩЕНИЕ:  получен запрос на быстрое выключение
2022-09-04 15:42:47.225 MSK [9124] СООБЩЕНИЕ:  прерывание всех активных транзакций
2022-09-04 15:42:47.227 MSK [3864] ОШИБКА:  выполнение оператора отменено по запросу пользователя
2022-09-04 15:42:47.264 MSK [9124] СООБЩЕНИЕ:  фоновый процесс "logical replication launcher" (PID 3864) завершился с кодом выхода 1
2022-09-04 15:42:47.265 MSK [8768] СООБЩЕНИЕ:  выключение
2022-09-04 15:42:47.332 MSK [9124] СООБЩЕНИЕ:  система БД выключена
